signal_time,signal_side,spot_price,instrument_key,trading_symbol,expiry,strike_price,instrument_type,lot_size,entry_time,exit_time,entry_price,exit_price,quantity,gross_pnl,brokerage,slippage,other_charges,net_pnl,pnl,return_pct,exit_reason,status,error
2026-07-02 09:20:00+05:30,BUY_ENTRY,24122.900390625,NSE_FO|51375,NIFTY 24100 CE 14 JUL 26,2026-07-14,24100.0,CE,65.0,2026-07-02 09:20:00+05:30,2026-07-03 09:15:00+05:30,234.1,358.1,65.0,8060.000000000002,40.0,19.2465,11.547899999999998,7989.205600000002,7989.205600000002,52.503569151907485,GAP_TARGET,COMPLETED,
2026-07-02 09:25:00+05:30,BUY_ENTRY,24111.599609375,NSE_FO|51375,NIFTY 24100 CE 14 JUL 26,2026-07-14,24100.0,CE,65.0,2026-07-02 09:25:00+05:30,2026-07-03 09:15:00+05:30,237.8,358.1,65.0,7819.500000000001,40.0,19.36675,11.620049999999999,7748.513200000001,7748.513200000001,50.129476612538014,GAP_TARGET,COMPLETED,
2026-07-02 09:50:00+05:30,BUY_ENTRY,24136.75,NSE_FO|51377,NIFTY 24150 CE 14 JUL 26,2026-07-14,24150.0,CE,65.0,2026-07-02 09:50:00+05:30,2026-07-03 09:32:00+05:30,220.65,330.975,65.0,7171.125000000001,40.0,17.9278125,10.756687499999998,7102.440500000001,7102.440500000001,49.521103731980695,TARGET,COMPLETED,
2026-07-02 10:05:00+05:30,BUY_ENTRY,24099.75,NSE_FO|51375,NIFTY 24100 CE 14 JUL 26,2026-07-14,24100.0,CE,65.0,2026-07-02 10:05:00+05:30,2026-07-03 09:15:00+05:30,233.4,358.1,65.0,8105.500000000001,40.0,19.22375,11.534249999999998,8034.742000000001,8034.742000000001,52.96118911080352,GAP_TARGET,COMPLETED,
2026-07-02 12:20:00+05:30,BUY_ENTRY,24123.900390625,NSE_FO|51375,NIFTY 24100 CE 14 JUL 26,2026-07-14,24100.0,CE,65.0,2026-07-02 12:20:00+05:30,2026-07-03 09:15:00+05:30,228.8,358.1,65.0,8404.5,40.0,19.07425,11.44455,8333.9812,8333.9812,56.03806616460463,GAP_TARGET,COMPLETED,
2026-07-02 12:25:00+05:30,BUY_ENTRY,24131.80078125,NSE_FO|51377,NIFTY 24150 CE 14 JUL 26,2026-07-14,24150.0,CE,65.0,2026-07-02 12:25:00+05:30,2026-07-03 09:15:00+05:30,202.6,303.9,65.0,6584.499999999999,40.0,16.46125,9.87675,6518.161999999999,6518.161999999999,49.49625635963247,TARGET,COMPLETED,
2026-07-02 12:30:00+05:30,BUY_ENTRY,24122.349609375,NSE_FO|51375,NIFTY 24100 CE 14 JUL 26,2026-07-14,24100.0,CE,65.0,2026-07-02 12:30:00+05:30,2026-07-03 09:15:00+05:30,233.75,358.1,65.0,8082.750000000002,40.0,19.235125,11.541075,8011.973800000002,8011.973800000002,52.732036528177716,GAP_TARGET,COMPLETED,
2026-07-02 12:40:00+05:30,BUY_ENTRY,24122.19921875,NSE_FO|51375,NIFTY 24100 CE 14 JUL 26,2026-07-14,24100.0,CE,65.0,2026-07-02 12:40:00+05:30,2026-07-03 09:15:00+05:30,237.45,358.1,65.0,7842.250000000002,40.0,19.355375,11.613224999999998,7771.281400000002,7771.281400000002,50.350884558692535,GAP_TARGET,COMPLETED,
2026-07-02 12:55:00+05:30,BUY_ENTRY,24119.599609375,NSE_FO|51375,NIFTY 24100 CE 14 JUL 26,2026-07-14,24100.0,CE,65.0,2026-07-02 12:55:00+05:30,2026-07-03 09:15:00+05:30,228.0,358.1,65.0,8456.500000000002,40.0,19.04825,11.428949999999999,8386.022800000002,8386.022800000002,56.5858488529015,GAP_TARGET,COMPLETED,
2026-07-02 13:00:00+05:30,BUY_ENTRY,24133.30078125,NSE_FO|51377,NIFTY 24150 CE 14 JUL 26,2026-07-14,24150.0,CE,65.0,2026-07-02 13:00:00+05:30,2026-07-03 09:15:00+05:30,195.85,293.775,65.0,6365.124999999999,40.0,15.912812500000001,9.547687499999999,6299.664499999999,6299.664499999999,49.48578778892794,TARGET,COMPLETED,
